Faostat group code,Group name,,Area name,Start year,End year
5000,World,1,Armenia,1992,
5000,World,2,Afghanistan,,
5000,World,3,Albania,,
5000,World,4,Algeria,,
5000,World,5,American Samoa,,
5000,World,6,Andorra,,
5000,World,7,Angola,,
5000,World,8,Antigua and Barbuda,,
5000,World,9,Argentina,,
5000,World,10,Australia,,
5000,World,11,Austria,,
5000,World,12,Bahamas,,
5000,World,13,Bahrain,,
5000,World,14,Barbados,,
5000,World,15,Belgium-Luxembourg,,1999
5000,World,16,Bangladesh,,
5000,World,17,Bermuda,,
5000,World,18,Bhutan,,
5000,World,19,Bolivia (Plurinational State of),,
5000,World,20,Botswana,,
5000,World,21,Brazil,,
5000,World,22,Aruba,,
5000,World,23,Belize,,
5000,World,24,British Indian Ocean Territory,,
5000,World,25,Solomon Islands,,
5000,World,26,Brunei Darussalam,,
5000,World,27,Bulgaria,,
5000,World,28,Myanmar,,
5000,World,29,Burundi,,
5000,World,30,Antarctica,,
5000,World,32,Cameroon,,
5000,World,33,Canada,,
5000,World,35,Cape Verde,,
5000,World,36,Cayman Islands,,
5000,World,37,Central African Republic,,
5000,World,38,Sri Lanka,,
5000,World,39,Chad,,
5000,World,40,Chile,,
5000,World,42,Christmas Island,,
5000,World,43,Cocos (Keeling) Islands,,
5000,World,44,Colombia,,
5000,World,45,Comoros,,
5000,World,46,Congo,,
5000,World,47,Cook Islands,,
5000,World,48,Costa Rica,,
5000,World,49,Cuba,,
5000,World,50,Cyprus,,
5000,World,51,Czechoslovakia,,1992
5000,World,52,Azerbaijan,1992,
5000,World,53,Benin,,
5000,World,54,Denmark,,
5000,World,55,Dominica,,
5000,World,56,Dominican Republic,,
5000,World,57,Belarus,1992,
5000,World,58,Ecuador,,
5000,World,59,Egypt,,
5000,World,60,El Salvador,,
5000,World,61,Equatorial Guinea,,
5000,World,62,Ethiopia PDR,,1992
5000,World,63,Estonia,1992,
5000,World,64,Faroe Islands,,
5000,World,65,Falkland Islands (Malvinas),,
5000,World,66,Fiji,,
5000,World,67,Finland,,
5000,World,68,France,,
5000,World,69,French Guiana,,
5000,World,70,French Polynesia,,
5000,World,71,French Southern and Antarctic Territories,,
5000,World,72,Djibouti,,
5000,World,73,Georgia,1992,
5000,World,74,Gabon,,
